Scope,Method,Runs,Success Count,Success Rate,Median Hit Time (s),Mean Hit Time (s)
ALL,SA,12,10,0.8333333333333334,18.9296875,100.3890625
ALL,TS,12,10,0.8333333333333334,19.4453125,139.0140625
ALL,GA,12,6,0.5,46.5625,41.888020833333336
ALL,MAS,12,6,0.5,26.1328125,42.1328125
ALL,MAS_RL,12,9,0.75,45.984375,128.63020833333334
C1,SA,2,2,1.0,18.9296875,18.9296875
C1,TS,2,2,1.0,19.4453125,19.4453125
C1,GA,2,2,1.0,71.7734375,71.7734375
C1,MAS,2,2,1.0,81.8046875,81.8046875
C1,MAS_RL,2,2,1.0,60.8046875,60.8046875
C2,SA,2,0,0.0,,
C2,TS,2,0,0.0,,
C2,GA,2,0,0.0,,
C2,MAS,2,0,0.0,,
C2,MAS_RL,2,0,0.0,,
R1,SA,2,2,1.0,11.828125,11.828125
R1,TS,2,2,1.0,8.0390625,8.0390625
R1,GA,2,2,1.0,7.328125,7.328125
R1,MAS,2,2,1.0,19.890625,19.890625
R1,MAS_RL,2,2,1.0,19.6796875,19.6796875
R2,SA,2,2,1.0,130.4921875,130.4921875
R2,TS,2,2,1.0,326.4609375,326.4609375
R2,GA,2,0,0.0,,
R2,MAS,2,0,0.0,,
R2,MAS_RL,2,2,1.0,252.171875,252.171875
RC1,SA,2,2,1.0,10.03125,10.03125
RC1,TS,2,2,1.0,15.2265625,15.2265625
RC1,GA,2,2,1.0,46.5625,46.5625
RC1,MAS,2,2,1.0,24.703125,24.703125
RC1,MAS_RL,2,2,1.0,24.234375,24.234375
RC2,SA,2,2,1.0,330.6640625,330.6640625
RC2,TS,2,2,1.0,325.8984375,325.8984375
RC2,GA,2,0,0.0,,
RC2,MAS,2,0,0.0,,
RC2,MAS_RL,2,1,0.5,443.890625,443.890625
